НАЗВАНИЕ,ГОРОД,ID ТОЧКИ,АДРЕС,РЕЖИМ РАБОТЫ
Сбер Логистика,Нижний Новгород,Почтовый терминал,"Большая Покровская ул., 3, Нижний Новгород",Круглосуточно
Сберлогистика,Нижний Новгород,Почтовый терминал,"Электровозная ул., 7Б, Нижний Новгород",Открыто до 18:00
Сберлогистика,Нижний Новгород,Почтовый терминал,"ул. Бекетова, 13А, Нижний Новгород",Круглосуточно
Сбер Логистика,Нижний Новгород,не указан,"площадь Максима Горького, 4, Нижний Новгород",Круглосуточно
СберЛогистика,Нижний Новгород,не указан,"Заречный бул., 3, Нижний Новгород",Открыто до 18:00
Сбер Логистика,Оренбург,Почтовый терминал,"просп. Победы, 18, Оренбург",Круглосуточно
Сбер Логистика,Оренбург,Почтовый терминал,"просп. Братьев Коростелевых, 46, Оренбург",Круглосуточно
Сберлогистика,Оренбург,Почтовый терминал,"ул. Рокоссовского, 33, Оренбург",Открыто до 20:30
Сбербанк России,Оренбург,Банк,"Новая ул., 4, Оренбург",Открыто до 19:00
Сбер логистика,Санкт-Петербург,Почтовый терминал,"просп. Пятилеток, 10, корп. 1, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"Среднеохтинский просп., 10, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"просп. КИМа, 4, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"ул. Олеко Дундича, 17, корп. 1, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"11-я линия Васильевского острова, 14/39, Санкт-Петербург",До открытия 20 мин
Сбер логистика,Санкт-Петербург,Почтовый терминал,"Ленинский просп., 129, Санкт-Петербург",До открытия 20 мин
Сбер логистика,Санкт-Петербург,Почтовый терминал,"Наличная ул., 41/14, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"ул. Бутлерова, 40, Санкт-Петербург",Круглосуточно
